"","point_name","mini","site","mud","pourcentage_MO","Trask(So)","depth","Mean.fw.um","current_mean","bottomT_mean"
"MBE_1","Belle-Ile 1","MBE_1","Belle-ile",6.71016666666667,4.20986666666667,1.41333333333333,4,122057.8065,0.184758124913411,13.115913283491
"MBE_2","Belle-Ile 2","MBE_2","Belle-ile",1.18633333333333,2.34096666666667,1.50016666666667,3.67999997138977,79409.7028333333,0.173803379887486,13.1266869116103
"MBE_3","Belle-Ile 3","MBE_3","Belle-ile",4.09,3.57791666666667,1.558,3.5,56015.5495,0.173803379887486,13.1266869116103
"MCM_1","Camaret 1","MCM_1","Camaret",7.11133333333333,2.8203,3.12316666666667,19.0666669209798,11441.0246666667,0.22925792280674,12.7463532176114
"MCM_2","Camaret 2","MCM_2","Camaret",15.8321666666667,3.12446666666667,3.51533333333333,16.4000000953674,1544.2385,0.22925792280674,12.7463532176114
"MCM_3","Camaret 3","MCM_3","Camaret",7.2658,3.35568,2.099,16.0666669209798,2735.5948,0.230030620012957,12.856905191647
"MGL_1","Glénan 1","MGL_1","Glenan",0.931666666666667,2.66471666666667,1.42866666666667,8.39999997615814,144218.672,0.207587049327087,13.1369404738604
"MGL_2","Glénan 2","MGL_2","Glenan",6.48833333333333,3.54468333333333,2.65433333333333,10.6500000953674,13164.8511666667,0.207587049327087,13.1369404738604
"MGL_3","Glénan 3","MGL_3","Glenan",0.99,2.83033333333333,1.50966666666667,7.48000011444092,73568.7991666667,0.202755118747375,13.08647251393
"NBK_1","Keraliou 1","NBK_1","Rade de Brest - Keraliou",47.665,6.145,16.6933333333333,2.00000002384186,11.209,0.180004362772635,12.3424155195963
"NBK_2","Keraliou 2","NBK_2","Rade de Brest - Keraliou",35.7456666666667,5.705,14.9018333333333,2.44999998807907,10381.1968333333,0.216005235327162,12.3424155195963
"NBK_3","Keraliou 3","NBK_3","Rade de Brest - Keraliou",35.0503333333333,6.73166666666667,14.3325,2.25000005960464,102.783,0.216005235327162,12.3424155195963
"MME_1","Meaban 1","MME_1","Meaban",5.654,3.15103333333333,1.96033333333333,6.23333334922791,13349.0813333333,0.0500818450551943,12.6404368568311
"MME_2","Meaban 2","MME_2","Meaban",3.04683333333333,3.36666666666667,2.02633333333333,5.87999992370605,13873.6365,0.0500818450551943,12.6404368568311
"MME_3","Meaban 3","MME_3","Meaban",6.2822,3.392,2.1654,5.87999992370605,12990.7252,0.0503675163377977,12.5348329893074
"MMO_1","Molène 1","MMO_1","Molene",2.15616666666667,3.63481666666667,4.3495,11.7000000476837,8164.79366666667,0.58218037931255,13.0149605647283
"MMO_2","Molène 2","MMO_2","Molene",2.25516666666667,3.03416666666667,2.08466666666667,12.6799999237061,31945.166,0.582302810110179,13.0095002041086
"MMO_3","Molène 3","MMO_3","Molene",2.175,3.2649,3.87883333333333,12.160000038147,8200.079,0.582302810110179,13.0095002041086
"MMX_1","Morlaix 1","MMX_1","Morlaix",4.70816666666667,2.62166666666667,2.83766666666667,9.24000005722046,20476.2075,0.326307672065138,12.7500849739221
"MMX_2","Morlaix 2","MMX_2","Morlaix",4.38666666666667,2.86166666666667,3.33066666666667,5.48000001907349,10928.4203333333,0.26923837085831,12.7150762817723
"MMX_3","Morlaix 3","MMX_3","Morlaix",1.46333333333333,2.13,1.96766666666667,5.04000005722046,22433.1885,0.26923837085831,12.7150762817723
"MRZ_1","Rade de Brest-Rozegat 1","MRZ_1","Rade de Brest - Rozegat",11.898,5.02166666666667,2.60283333333333,1.79999995231628,12603.1893333333,0.215617471395241,12.2489671239093
"MRZ_2","Rade de Brest-Rozegat 2","MRZ_2","Rade de Brest - Rozegat",24.169,5.725,7.84466666666667,1.60000002384186,5473.239,0.169490015231039,12.1515504070512
"MRZ_3","Rade de Brest-Rozegat 3","MRZ_3","Rade de Brest - Rozegat",45.1211666666667,9.275,21.2391666666667,1.30000001192093,34866.478,0.135592012184831,12.1515504070512
"MPP_1","Saint-Brieuc 1","MPP_1","Baie de Saint-Brieuc",1.51983333333333,2.01,2.53033333333333,22.6799999237061,34605.5648333333,0.594452868553573,12.597371010541
"MPP_2","Saint-Brieuc 2","MPP_2","Baie de Saint-Brieuc",1.3,2.045,2.42333333333333,13.4400001525879,28237.401,0.510101591336838,12.5582724147649
"MPP_3","Saint-Brieuc 3","MPP_3","Baie de Saint-Brieuc",0.831666666666667,2.04333333333333,2.2115,20.1500000953674,22581.4625,0.594452868553573,12.597371010541
"MTR_1","Trévignon 1","MTR_1","Trevignon",12.8771666666667,3.96586666666667,4.45633333333333,11.8799999237061,155022.5255,0.0748765574693355,13.0325958355211
"MTR_2","Trévignon 2","MTR_2","Trevignon",15.5868333333333,4.61575,3.5355,12.1200000762939,57563.8031666667,0.0748765574693355,13.0325958355211
"MTR_3","Trévignon 3","MTR_3","Trevignon",20.183,4.6704,7.59666666666667,13.0333334604899,26911.2086666667,0.0748765574693355,13.0325958355211
